Player Name,Turned Pro,weight (lbs),Birthdate,Favorite_Hand,BackHand,Height (CM),player_name_clean_3first
goncalo-oliveira,2012,174,1995-02-17,Left,Two-Handed,185.0,oliveira gon
mats-moraing,2013,185,1992-06-20,Left,Two-Handed,198.0,moraing mat
kevin-king,2013,190,1991-02-28,Left,Two-Handed,191.0,king kev
lorenzo-sonego,2013,168,1995-05-11,Right,Two-Handed,191.0,sonego lor
hubert-hurkacz,2015,179,1997-02-11,Right,Two-Handed,196.0,hurkacz hub
miomir-kecmanovic,2017,165,1999-08-31,Right,Two-Handed,183.0,kecmanovic mio
nicola-kuhn,2015,176,2000-03-20,Right,Two-Handed,185.0,kuhn nic
hugo-dellien,2009,165,1993-06-16,Right,Two-Handed,180.0,dellien hug
prajnesh-gunneswaran,2010,176,1989-11-12,Left,Two-Handed,188.0,gunneswaran pra
nino-serdarusic,2014,187,1996-12-13,Right,Two-Handed,191.0,serdarusic nin
christopher-eubanks,2017,180,1996-05-05,Right,One-Handed,201.0,eubanks chr
juan-ignacio-londero,2010,154,1993-08-15,Right,Two-Handed,180.0,londero jua
gianluigi-quinzi,2010,185,1996-02-01,Left,Two-Handed,191.0,quinzi gia
pedro-martinez,2016,168,1997-04-26,Right,Two-Handed,185.0,martinez ped
daniel-elahi-galan,2015,159,1996-06-18,Right,Two-Handed,191.0,galan dan
christian-harrison,2007,170,1994-05-29,Right,Two-Handed,180.0,harrison chr
tallon-griekspoor,2015,187,1996-07-02,Right,Two-Handed,188.0,griekspoor tal
ugo-humbert,2016,160,1998-06-26,Left,Two-Handed,188.0,humbert ugo
filip-horansky,2012,170,1993-01-07,Right,Two-Handed,191.0,horansky fil
jay-clarke,2016,184,1998-07-27,Right,Two-Handed,183.0,clarke jay
dominik-koepfer,2016,175,1994-04-29,Left,Two-Handed,180.0,koepfer dom
alexei-popyrin,2017,172,1999-08-05,Right,Two-Handed,196.0,popyrin ale
antoine-hoang,2016,168,1995-11-04,Right,Two-Handed,183.0,hoang ant
rudolf-molleker,2017,180,2000-10-26,Right,Two-Handed,188.0,molleker rud
roberto-quiroz,2014,193,1992-02-23,Left,Two-Handed,193.0,quiroz rob
yosuke-watanuki,2016,154,1998-04-12,Right,Two-Handed,180.0,watanuki yos
filippo-baldi,2012,176,1996-01-10,Right,Two-Handed,180.0,baldi fil
maxime-janvier,2014,187,1996-10-18,Right,Two-Handed,196.0,janvier max
jurij-rodionov,2017,184,1999-05-16,Left,Two-Handed,191.0,rodionov jur
mikael-ymer,2015,165,1998-09-09,Right,Two-Handed,183.0,ymer mik
gianluca-mager,2013,170,1994-12-01,Right,Two-Handed,188.0,mager gia
marcos-giron,2014,170,1993-07-24,Right,Two-Handed,180.0,giron mar
emilio-gomez,2013,179,1991-11-28,Right,Two-Handed,185.0,gomez emi
alejandro-davidovich-fokina,2017,173,1999-06-05,Right,Two-Handed,183.0,fokina ale
federico-coria,2010,161,1992-03-09,Right,Two-Handed,180.0,coria fed
mikael-torpegaard,2018,185,1994-05-08,Right,Two-Handed,193.0,torpegaard mik
enzo-couacaud,2013,172,1995-03-01,Right,Two-Handed,183.0,couacaud enz
jannik-sinner,2018,167,2001-08-16,Right,Two-Handed,188.0,sinner jan
sumit-nagal,2015,152,1997-08-16,Right,Two-Handed,178.0,nagal sum
emil-ruusuvuori,2018,174,1999-04-02,Right,Two-Handed,188.0,ruusuvuori emi
joao-menezes,2014,185,1996-12-17,Right,Two-Handed,185.0,menezes joa
mario-vilella-martinez,"
",163,1995-07-03,Right,Two-Handed,178.0,martinez mar
andrew-harris,"
",179,1994-03-07,Right,One-Handed,183.0,harris and
danilo-petrovic,"
",190,1992-01-24,Right,Two-Handed,203.0,petrovic dan
facundo-mena,"
",178,1992-09-22,Right,Two-Handed,183.0,mena fac
christopher-o'connell,2011,172,1994-06-03,Right,One-Handed,183.0,connell chr
zhizhen-zhang,2012,192,1996-10-16,Right,Two-Handed,193.0,zhang zhi
thai-son-kwiatkowski,2017,179,1995-02-13,Right,Two-Handed,188.0,kwiatkowski tha
juan-pablo-varillas,2013,170,1995-10-06,Right,Two-Handed,185.0,varillas jua
andrea-collarini,2010,171,1992-01-31,Left,Two-Handed,183.0,collarini and
zhe-li,2004,176,1986-09-20,Right,Two-Handed,183.0,li zhe
maxime-cressy,2019,187,1997-05-08,Right,Two-Handed,201.0,cressy max
botic-van-de-zandschulp,2016,187,1995-10-04,Right,Two-Handed,191.0,zandschulp bot
frederico-ferreira-silva,2013,163,1995-03-18,Left,Two-Handed,178.0,silva fre
j.j.-wolf,2019,170,1998-12-21,Right,Two-Handed,183.0,wolf jj
roman-safiullin,2015,165,1997-08-07,Right,Two-Handed,185.0,safiullin rom
alejandro-tabilo,2015,165,1997-06-02,Left,Two-Handed,188.0,tabilo ale
bernabe-zapata-miralles,2015,174,1997-01-12,Right,Two-Handed,183.0,miralles ber
cem-ilkel,2013,179,1995-08-21,Right,Two-Handed,185.0,ilkel cem
elliot-benchetrit,2016,194,1998-10-02,Right,Two-Handed,193.0,benchetrit ell
thiago-seyboth-wild,2018,176,2000-03-10,Right,Two-Handed,185.0,wild thi
juan-pablo-ficovich,2015,173,1997-01-24,Right,Two-Handed,188.0,ficovich jua
aleksandar-vukic,2018,187,1996-04-06,Right,Two-Handed,188.0,vukic ale
carlos-alcaraz,2018,163,2003-05-05,Right,Two-Handed,183.0,alcaraz car
arthur-rinderknech,2018,193,1995-07-23,Right,Two-Handed,196.0,rinderknech art
daniel-altmaier,2014,176,1998-09-12,Right,One-Handed,188.0,altmaier dan
brandon-nakashima,2019,183,2001-08-03,Right,Two-Handed,188.0,nakashima bra
marc-andrea-huesler,2016,189,1996-06-24,Left,Two-Handed,196.0,huesler mar
lorenzo-musetti,2019,172,2002-03-03,Right,One-Handed,185.0,musetti lor
hugo-gaston,2018,149,2000-09-26,Left,Two-Handed,173.0,gaston hug
tomas-machac,2017,163,2000-10-13,Right,Two-Handed,183.0,machac tom
francisco-cerundolo,2018,176,1998-08-13,Right,Two-Handed,185.0,cerundolo fra
jenson-brooksby,2021,183,2000-10-26,Right,Two-Handed,193.0,brooksby jen
alexandre-muller,2014,165,1997-02-01,Right,Two-Handed,183.0,muller ale
sebastian-korda,2018,180,2000-07-05,Right,Two-Handed,196.0,korda seb
juan-manuel-cerundolo,2018,167,2001-11-15,Left,Two-Handed,183.0,cerundolo jua
kacper-zuk,2016,169,1999-01-21,Right,Two-Handed,183.0,zuk kac
sebastian-baez,2018,154,2000-12-28,Right,Two-Handed,170.0,baez seb
alex-molcan,2015,160,1997-12-01,Left,Two-Handed,178.0,molcan ale
tomas-martin-etcheverry,2017,180,1999-07-18,Right,Two-Handed,196.0,etcheverry tom
tomas-barrios-vera,2019,194,1997-12-10,Right,Two-Handed,191.0,vera tom
altug-celikbilek,2015,162,1996-09-07,Right,Two-Handed,183.0,celikbilek alt
zizou-bergs,2018,187,1999-06-03,Right,Two-Handed,185.0,bergs ziz
max-purcell,2016,176,1998-04-03,Right,Two-Handed,185.0,purcell max
hugo-grenier,2013,187,1996-03-23,Right,Two-Handed,196.0,grenier hug
dimitar-kuzmanov,2009,170,1993-07-28,Right,Two-Handed,183.0,kuzmanov dim
gian-marco-moroni,2018,179,1998-02-13,Right,One-Handed,185.0,moroni gia
jiri-lehecka,2020,179,2001-11-08,Right,Two-Handed,185.0,lehecka jir
zdenek-kolar,2014,174,1996-10-09,Right,Two-Handed,183.0,kolar zde
holger-rune,2020,169,2003-04-29,Right,Two-Handed,188.0,rune hol
felipe-meligeni-alves,2016,182,1998-02-19,Right,Two-Handed,185.0,alves fel
flavio-cobolli,2020,156,2002-05-06,Right,Two-Handed,173.0,cobolli fla
vit-kopriva,2015,152,1997-06-15,Right,Two-Handed,178.0,kopriva vit
chun-hsin-tseng,2019,143,2001-08-08,Right,Two-Handed,175.0,tseng chu
camilo-ugo-carabelli,2016,182,1999-06-17,Right,Two-Handed,185.0,carabelli cam
nuno-borges,2019,171,1997-02-19,Right,Two-Handed,185.0,borges nun
franco-agamenone,2010,176,1993-04-15,Right,Two-Handed,191.0,agamenone fra
pavel-kotov,2016,196,1998-11-18,Right,Two-Handed,191.0,kotov pav
daniel-masur,2013,172,1994-11-06,Right,Two-Handed,183.0,masur dan
dominic-stricker,2020,176,2002-08-16,Left,Two-Handed,183.0,stricker dom
jesper-de-jong,"
",154,2000-05-31,Right,Two-Handed,180.0,jong jes
tim-van-rijthoven,2015,195,1997-04-24,Right,One-Handed,188.0,rijthoven tim
jack-draper,2018,187,2001-12-22,Left,Two-Handed,193.0,draper jac
manuel-guinard,2016,181,1995-11-15,Right,Two-Handed,198.0,guinard man
timofey-skatov,2019,159,2001-01-21,Right,Two-Handed,175.0,skatov tim
thiago-agustin-tirante,2016,178,2001-04-10,Right,Two-Handed,185.0,tirante thi
andrea-pellegrino,2016,179,1997-03-23,Right,Two-Handed,185.0,pellegrino and
luca-nardi,"
",176,2003-08-06,Right,Two-Handed,185.0,nardi luc
zsombor-piros,2016,150,1999-10-13,Right,Two-Handed,180.0,piros zso
dalibor-svrcina,"
",149,2002-10-02,Right,Two-Handed,178.0,svrcina dal
ryan-peniston,"
",165,1995-11-10,Left,Two-Handed,180.0,peniston rya
geoffrey-blancaneaux,2016,165,1998-08-08,Right,Two-Handed,180.0,blancaneaux geo
borna-gojo,2020,198,1998-02-27,Right,Two-Handed,196.0,gojo bor
santiago-rodriguez-taverna,2016,181,1999-07-16,Right,Two-Handed,191.0,taverna san
giulio-zeppieri,2019,180,2001-12-07,Left,Two-Handed,183.0,zeppieri giu
alexander-ritschard,2018,180,1994-03-24,Right,Two-Handed,193.0,ritschard ale
riccardo-bonadio,"
",173,1993-07-13,Right,One-Handed,180.0,bonadio ric
filip-misolic,2019,165,2001-08-08,Right,Two-Handed,180.0,misolic fil
tung-lin-wu,2016,179,1998-05-12,Right,Two-Handed,188.0,wu tun
alexander-shevchenko,2018,165,2000-11-29,Right,Two-Handed,185.0,shevchenko ale
francesco-passaro,2019,178,2001-01-07,Right,Two-Handed,180.0,passaro fra
gijs-brouwer,2016,161,1996-03-14,Left,Two-Handed,191.0,brouwer gij
antoine-escoffier,"
",173,1992-02-29,Right,Two-Handed,185.0,escoffier ant
luciano-darderi,"
",180,2002-02-14,Right,Two-Handed,183.0,darderi luc
andrea-vavassori,2014,176,1995-05-05,Right,One-Handed,191.0,vavassori and
emilio-nava,2018,174,2001-12-02,Right,Two-Handed,185.0,nava emi
antoine-bellier,2014,184,1996-10-18,Left,One-Handed,196.0,bellier ant
matteo-arnaldi,2019,157,2001-02-22,Right,Two-Handed,185.0,arnaldi mat
yibing-wu,2017,176,1999-10-14,Right,Two-Handed,183.0,wu yib
rinky-hijikata,2021,159,2001-02-23,Right,Two-Handed,178.0,hijikata rin
ben-shelton,2022,195,2002-10-09,Left,Two-Handed,193.0,shelton ben
jelle-sels,"
",183,1995-08-10,Right,One-Handed,188.0,sels jel
fabian-marozsan,2017,165,1999-10-08,Right,Two-Handed,193.0,marozsan fab
paul-jubb,2020,158,1999-10-31,Right,Two-Handed,180.0,jubb pau
francesco-maestrelli,2020,172,2002-12-21,Right,Two-Handed,196.0,maestrelli fra
juncheng--shang,2021,162,2005-02-02,Left,Two-Handed,180.0,shang jun
raul-brancaccio,"
",162,1997-05-04,Right,Two-Handed,185.0,brancaccio rau
nerman-fatic,2014,193,1994-10-24,Right,Two-Handed,191.0,fatic ner
aleksandar-kovacevic,2021,174,1998-08-29,Right,One-Handed,183.0,kovacevic ale
matheus-pucinelli-de-almeida,"
",171,2001-04-01,Right,Two-Handed,183.0,almeida mat
evan-furness,"
",145,1998-08-13,Right,Two-Handed,173.0,furness eva
laurent-lokoli,"
",171,1994-10-18,Right,Two-Handed,188.0,lokoli lau
lukas-klein,"
",187,1998-03-22,Right,Unknown,193.0,klein luk
facundo-diaz-acosta,2018,165,2000-12-15,Left,Two-Handed,183.0,acosta fac
mattia-bellucci,"
",158,2001-06-01,Left,Two-Handed,178.0,bellucci mat
li-tu,"
",182,1996-05-27,Right,One-Handed,180.0,tu li
luca-van-assche,2021,158,2004-05-11,Right,Two-Handed,178.0,assche luc
otto-virtanen,2018,180,2001-06-21,Right,Two-Handed,193.0,virtanen ott
genaro-alberto-olivieri,2016,161,1998-08-04,Right,Two-Handed,175.0,olivieri gen
adrian-andreev,2016,145,2001-05-12,Right,Two-Handed,180.0,andreev adr
arthur-fils,2021,182,2004-06-12,Right,Two-Handed,185.0,fils art
oleksii-krutykh,"
",173,2000-03-10,Right,Two-Handed,185.0,krutykh ole
leandro-riedi,"
",171,2002-01-27,Right,Two-Handed,191.0,riedi lea
yu-hsiou-hsu,2016,165,1999-04-02,Right,Two-Handed,178.0,hsu yu
brandon-holt,2020,180,1998-04-06,Right,Two-Handed,185.0,holt bra
matteo-gigante,"
",149,2002-01-04,Left,Two-Handed,180.0,gigante mat
hamad-medjedovic,2021,190,2003-07-18,Right,Two-Handed,188.0,medjedovic ham
nicolas-moreno-de-alboran,2019,180,1997-07-14,Right,Two-Handed,185.0,alboran nic
gabriel-diallo,2023,198,2001-09-24,Right,Two-Handed,203.0,diallo gab
ivan-gakhov,"
",182,1996-11-04,Left,Two-Handed,191.0,gakhov iva
jan-choinski,"
",193,1996-06-10,Right,Two-Handed,196.0,choinski jan
yunchaokete-bu,"
",181,2002-01-19,Right,Two-Handed,185.0,bu yun
harold-mayot,2020,171,2002-02-04,Right,Two-Handed,178.0,mayot har
arthur-cazaux,2020,162,2002-08-23,Right,Two-Handed,183.0,cazaux art
seongchan-hong,"
",143,1997-06-30,Right,Two-Handed,175.0,hong seo
sho-shimabukuro,2016,173,1997-07-30,Right,Two-Handed,180.0,shimabukuro sho
francisco-comesana,"
",158,2000-10-06,Right,Two-Handed,178.0,comesana fra
nicholas-david-ionel,"
",160,2002-10-12,Right,Two-Handed,185.0,ionel nic
mariano-navone,"
",160,2001-02-27,Right,Two-Handed,178.0,navone mar
shintaro-mochizuki,2019,154,2003-06-02,Right,Two-Handed,175.0,mochizuki shi
vitaliy-sachko,"
",162,1997-07-14,Right,Two-Handed,188.0,sachko vit
pablo-llamas-ruiz,"
",176,2002-10-13,Right,Two-Handed,188.0,ruiz pab
dragos-nicolae-madaras,"
",187,1997-09-12,Left,Two-Handed,191.0,madaras dra
alex-michelsen,2023,175,2004-08-25,Right,Two-Handed,193.0,michelsen ale
titouan-droguet,2018,176,2001-06-15,Right,Two-Handed,191.0,droguet tit
jakub-mensik,2022,184,2005-09-01,Right,Two-Handed,193.0,mensik jak
benjamin-hassan,"
",187,1995-02-04,Right,Two-Handed,183.0,hassan ben
dino-prizmic,"
",176,2005-08-05,Right,Two-Handed,188.0,prizmic din
alexis-galarneau,"
",175,1999-03-02,Right,Two-Handed,180.0,galarneau ale
gauthier-onclin,"
",169,2001-02-26,Right,Two-Handed,180.0,onclin gau
adam-walton,"
",170,1999-04-17,Right,Two-Handed,183.0,walton ada
terence-atmane,"
",176,2002-01-09,Left,Two-Handed,193.0,atmane ter
zachary-svajda,2019,145,2002-11-29,Right,Two-Handed,175.0,svajda zac
ugo-blanchet,"
",149,1999-01-05,Right,Two-Handed,175.0,blanchet ugo
daniel-rincon,"
",187,2003-01-07,Left,Two-Handed,185.0,rincon dan
duje-ajdukovic,2018,171,2001-02-05,Right,Two-Handed,188.0,ajdukovic duj
giovanni-mpetshi-perricard,2021,216,2003-07-08,Right,One-Handed,203.0,perricard gio
