tournament_name,tournament_date,round,winner_name,loser_name,score
Milan,1994.02.07,Round of 16,Boris Becker,Amos Mansdorf,63-36-63
Milan,1994.02.07,Round of 16,Petr Korda,Thomas Hogstedt,75-62
Milan,1994.02.07,Round of 16,Karel Novacek,Henri Leconte,75-36-762
Milan,1994.02.07,Round of 16,Wally Masur,Nicklas Kulti,63-62
Milan,1994.02.07,Round of 32,Michael Stich,Paolo Cane,64-63
Milan,1994.02.07,Round of 32,Sergi Bruguera,Alexander Volkov,62-673-61
Milan,1994.02.07,Round of 32,Goran Ivanisevic,Grant Connell,64-64
Milan,1994.02.07,Round of 32,Cedric Pioline,Marcos Ondruska,75-75
Milan,1994.02.07,Round of 32,Boris Becker,Arnaud Boetsch,57-62-64
Milan,1994.02.07,Round of 32,Petr Korda,Tomas Carbonell,63-75
Milan,1994.02.07,Round of 32,Wally Masur,Marc Rosset,63-673-63
Milan,1994.02.07,Round of 32,Karel Novacek,Darren Cahill,64-763
Milan,1994.02.07,Round of 32,Ronald Agenor,Jordi Burillo,61-60
Milan,1994.02.07,Round of 32,Alberto Berasategui,Omar Camporese,64-36-64
Milan,1994.02.07,Round of 32,Thomas Hogstedt,Patrick Rafter,64-64
Milan,1994.02.07,Round of 32,Nicklas Kulti,Brett Steven,62-64
Milan,1994.02.07,Round of 32,Henri Leconte,Magnus Larsson,64-61
Milan,1994.02.07,Round of 32,Amos Mansdorf,Greg Rusedski,765-763
Milan,1994.02.07,Round of 32,Jan Siemerink,Carlos Costa,63-75
Milan,1994.02.07,Round of 32,Jason Stoltenberg,Marc-Kevin Goellner,75-63
Memphis,1994.02.07,Finals,Todd Martin,Brad Gilbert,64-75
Memphis,1994.02.07,Semi-Finals,Todd Martin,Alex O'Brien,63-46-75
Memphis,1994.02.07,Semi-Finals,Brad Gilbert,Patrick McEnroe,763-61
Memphis,1994.02.07,Quarter-Finals,Brad Gilbert,Jim Courier,64-64
Memphis,1994.02.07,Quarter-Finals,Todd Martin,Paul Haarhuis,61-677-762
Memphis,1994.02.07,Quarter-Finals,Patrick McEnroe,Thomas Enqvist,63-764
Memphis,1994.02.07,Quarter-Finals,Alex O'Brien,Karsten Braasch,63-63
Memphis,1994.02.07,Round of 16,Jim Courier,Dave Randall,63-63
Memphis,1994.02.07,Round of 16,Todd Martin,Jakob Hlasek,75-75
Memphis,1994.02.07,Round of 16,Karsten Braasch,Michael Chang,64-63
Memphis,1994.02.07,Round of 16,Thomas Enqvist,MaliVai Washington,673-763-61
Memphis,1994.02.07,Round of 16,Patrick McEnroe,Andrei Chesnokov,63-62
Memphis,1994.02.07,Round of 16,Brad Gilbert,Chuck Adams,63-60
Memphis,1994.02.07,Round of 16,Paul Haarhuis,Jonathan Stark,672-64-64
Memphis,1994.02.07,Round of 16,Alex O'Brien,Cristiano Caratti,64-64
Memphis,1994.02.07,Round of 32,Jim Courier,Kenneth Carlsen,75-57-63
Memphis,1994.02.07,Round of 32,Todd Martin,Jacco Eltingh,678-63-62
Memphis,1994.02.07,Round of 32,Michael Chang,Steve Bryan,679-64-63
Memphis,1994.02.07,Round of 32,MaliVai Washington,Byron Black,61-61
Memphis,1994.02.07,Round of 32,Andrei Chesnokov,Peter Lundgren,63-64
Memphis,1994.02.07,Round of 32,Brad Gilbert,Xavier Daufresne,62-61
Memphis,1994.02.07,Round of 32,Paul Haarhuis,David Nainkin,46-62-60
Memphis,1994.02.07,Round of 32,Jonathan Stark,Doug Flach,764-674-60
Memphis,1994.02.07,Round of 32,Chuck Adams,Aaron Krickstein,64-16-63
Memphis,1994.02.07,Round of 32,Patrick McEnroe,Lars-Anders Wahlgren,64-61
Memphis,1994.02.07,Round of 32,Alex O'Brien,Grant Stafford,768-60
Memphis,1994.02.07,Round of 32,Karsten Braasch,Brian MacPhie,36-63-64
Memphis,1994.02.07,Round of 32,Thomas Enqvist,Jared Palmer,63-62
Memphis,1994.02.07,Round of 32,Dave Randall,David Rikl,16-60-61
Memphis,1994.02.07,Round of 32,Jakob Hlasek,Jean-Philippe Fleurian,75-42-(RET)
Memphis,1994.02.07,Round of 32,Cristiano Caratti,Maurice Ruah,761-61
Memphis,1994.02.07,Round of 64,Jim Courier,Bye,
Memphis,1994.02.07,Round of 64,Todd Martin,Bye,
Memphis,1994.02.07,Round of 64,Michael Chang,Bye,
Memphis,1994.02.07,Round of 64,MaliVai Washington,Bye,
Memphis,1994.02.07,Round of 64,Andrei Chesnokov,Bye,
Memphis,1994.02.07,Round of 64,Brad Gilbert,Bye,
Memphis,1994.02.07,Round of 64,Paul Haarhuis,Bye,
Memphis,1994.02.07,Round of 64,Jonathan Stark,Bye,
Memphis,1994.02.07,Round of 64,Aaron Krickstein,Bye,
Memphis,1994.02.07,Round of 64,Patrick McEnroe,Bye,
Memphis,1994.02.07,Round of 64,Grant Stafford,Bye,
Memphis,1994.02.07,Round of 64,Karsten Braasch,Bye,
Memphis,1994.02.07,Round of 64,Thomas Enqvist,Bye,
Memphis,1994.02.07,Round of 64,David Rikl,Bye,
Memphis,1994.02.07,Round of 64,Jakob Hlasek,Bye,
Memphis,1994.02.07,Round of 64,Chuck Adams,Jamie Morgan,63-75
Memphis,1994.02.07,Round of 64,Byron Black,Mark Petchey,63-64
Memphis,1994.02.07,Round of 64,Steve Bryan,Fernando Meligeni,61-64
Memphis,1994.02.07,Round of 64,Cristiano Caratti,Robbie Weiss,64-674-63
Memphis,1994.02.07,Round of 64,Kenneth Carlsen,Chris Woodruff,63-75
Memphis,1994.02.07,Round of 64,Xavier Daufresne,Tommy Ho,26-62-63
Memphis,1994.02.07,Round of 64,Jacco Eltingh,Bryan Shelton,63-63
Memphis,1994.02.07,Round of 64,Doug Flach,Filip Dewulf,766-63
Memphis,1994.02.07,Round of 64,Jean-Philippe Fleurian,Grant Doyle,64-64
Memphis,1994.02.07,Round of 64,Peter Lundgren,Renzo Furlan,36-62-63
Memphis,1994.02.07,Round of 64,Brian MacPhie,Andrew Sznajder,64-75
Memphis,1994.02.07,Round of 64,David Nainkin,Luiz Mattar,61-62
Memphis,1994.02.07,Round of 64,Alex O'Brien,Jeff Tarango,64-64
Memphis,1994.02.07,Round of 64,Jared Palmer,Todd Woodbridge,64-46-63
Memphis,1994.02.07,Round of 64,Dave Randall,Jim Grabb,63-26-64
Memphis,1994.02.07,Round of 64,Maurice Ruah,Bye,
Memphis,1994.02.07,Round of 64,Lars-Anders Wahlgren,Neil Borwick,62-64
Stuttgart,1994.02.14,Finals,Stefan Edberg,Goran Ivanisevic,46-64-62-62
Stuttgart,1994.02.14,Semi-Finals,Stefan Edberg,Sergi Bruguera,46-63-62
Stuttgart,1994.02.14,Semi-Finals,Goran Ivanisevic,Boris Becker,36-63-63
Stuttgart,1994.02.14,Quarter-Finals,Boris Becker,Michael Stich,63-764
Stuttgart,1994.02.14,Quarter-Finals,Sergi Bruguera,Arnaud Boetsch,63-62
Stuttgart,1994.02.14,Quarter-Finals,Stefan Edberg,Magnus Gustafsson,63-26-63
Stuttgart,1994.02.14,Quarter-Finals,Goran Ivanisevic,Henri Leconte,61-57-64
Stuttgart,1994.02.14,Round of 16,Michael Stich,Andrei Cherkasov,62-61
Stuttgart,1994.02.14,Round of 16,Sergi Bruguera,Yevgeny Kafelnikov,16-75-61
Stuttgart,1994.02.14,Round of 16,Stefan Edberg,Jason Stoltenberg,760-61
Stuttgart,1994.02.14,Round of 16,Goran Ivanisevic,Carlos Costa,63-46-60
Stuttgart,1994.02.14,Round of 16,Magnus Gustafsson,Carl-Uwe Steeb,63-46-61
Stuttgart,1994.02.14,Round of 16,Henri Leconte,Cedric Pioline,64-670-63
Stuttgart,1994.02.14,Round of 16,Boris Becker,Alexander Volkov,75-75
Stuttgart,1994.02.14,Round of 16,Arnaud Boetsch,Karel Novacek,63-767
Stuttgart,1994.02.14,Round of 32,Michael Stich,Wally Masur,64-63
Stuttgart,1994.02.14,Round of 32,Sergi Bruguera,Andrei Olhovskiy,36-763-64
Stuttgart,1994.02.14,Round of 32,Stefan Edberg,Marc-Kevin Goellner,674-762-60
Stuttgart,1994.02.14,Round of 32,Goran Ivanisevic,Wayne Ferreira,36-63-62
Stuttgart,1994.02.14,Round of 32,Magnus Gustafsson,Ronald Agenor,64-36-63
Stuttgart,1994.02.14,Round of 32,Cedric Pioline,Magnus Larsson,676-64-762
Stuttgart,1994.02.14,Round of 32,Boris Becker,David Prinosil,61-64
Stuttgart,1994.02.14,Round of 32,Arnaud Boetsch,Petr Korda,62-762
Stuttgart,1994.02.14,Round of 32,Andrei Cherkasov,Jonas Svensson,63-46-61
Stuttgart,1994.02.14,Round of 32,Carlos Costa,Emilio Sanchez,63-62
Stuttgart,1994.02.14,Round of 32,Yevgeny Kafelnikov,Brad Gilbert,765-61
Stuttgart,1994.02.14,Round of 32,Henri Leconte,Javier Sanchez,62-763
Stuttgart,1994.02.14,Round of 32,Karel Novacek,Patrik Kuhnen,26-63-63
Stuttgart,1994.02.14,Round of 32,Carl-Uwe Steeb,Amos Mansdorf,64-64
Stuttgart,1994.02.14,Round of 32,Jason Stoltenberg,Mark Woodforde,62-64
Stuttgart,1994.02.14,Round of 32,Alexander Volkov,Alberto Berasategui,62-63
Philadelphia,1994.02.14,Finals,Michael Chang,Paul Haarhuis,63-62
Philadelphia,1994.02.14,Semi-Finals,Michael Chang,Jim Courier,766-62
Philadelphia,1994.02.14,Semi-Finals,Paul Haarhuis,Jaime Yzaga,63-63
Philadelphia,1994.02.14,Quarter-Finals,Jim Courier,Andrei Chesnokov,63-6710-62
Philadelphia,1994.02.14,Quarter-Finals,Michael Chang,Jonathan Stark,62-63
Philadelphia,1994.02.14,Quarter-Finals,Jaime Yzaga,Jacco Eltingh,26-75-62
Philadelphia,1994.02.14,Quarter-Finals,Paul Haarhuis,Jim Grabb,765-57-63
Philadelphia,1994.02.14,Round of 16,Jim Courier,Doug Flach,61-63
Philadelphia,1994.02.14,Round of 16,Michael Chang,Jakob Hlasek,46-63-63
Philadelphia,1994.02.14,Round of 16,Jim Grabb,Todd Martin,64-36-64
Philadelphia,1994.02.14,Round of 16,Jonathan Stark,Ivan Lendl,63-(RET)
Philadelphia,1994.02.14,Round of 16,Andrei Chesnokov,Alex O'Brien,36-63-64
Philadelphia,1994.02.14,Round of 16,Jaime Yzaga,Greg Rusedski,760-63
Philadelphia,1994.02.14,Round of 16,Jacco Eltingh,Luiz Mattar,762-62
Philadelphia,1994.02.14,Round of 16,Paul Haarhuis,Renzo Furlan,765-46-61
Philadelphia,1994.02.14,Round of 32,Jacco Eltingh,Pete Sampras,768-64
Philadelphia,1994.02.14,Round of 32,Jim Courier,David Dilucia,63-60
Philadelphia,1994.02.14,Round of 32,Michael Chang,Chuck Adams,36-61-62
Philadelphia,1994.02.14,Round of 32,Todd Martin,Alexander Reichel,61-16-64
Philadelphia,1994.02.14,Round of 32,Ivan Lendl,Patrick McEnroe,64-46-64
Philadelphia,1994.02.14,Round of 32,Renzo Furlan,MaliVai Washington,62-46-761
Philadelphia,1994.02.14,Round of 32,Andrei Chesnokov,Jeff Tarango,64-16-64
Philadelphia,1994.02.14,Round of 32,Jaime Yzaga,Karsten Braasch,63-62
Philadelphia,1994.02.14,Round of 32,Doug Flach,Sebastien Lareau,64-63
Philadelphia,1994.02.14,Round of 32,Jim Grabb,Louis Gloria,75-62
Philadelphia,1994.02.14,Round of 32,Paul Haarhuis,Jimmy Connors,64-26-763
Philadelphia,1994.02.14,Round of 32,Jakob Hlasek,Thomas Enqvist,63-75
Philadelphia,1994.02.14,Round of 32,Luiz Mattar,Grant Stafford,62-64
Philadelphia,1994.02.14,Round of 32,Alex O'Brien,Byron Black,75-766
Philadelphia,1994.02.14,Round of 32,Greg Rusedski,Jared Palmer,765-763
Philadelphia,1994.02.14,Round of 32,Jonathan Stark,Stefano Pescosolido,762-763
Rotterdam,1994.02.21,Finals,Michael Stich,Wayne Ferreira,46-63-60
Rotterdam,1994.02.21,Semi-Finals,Michael Stich,Paul Haarhuis,64-63
Rotterdam,1994.02.21,Semi-Finals,Wayne Ferreira,Goran Ivanisevic,62-36-75
Rotterdam,1994.02.21,Quarter-Finals,Michael Stich,Rodolphe Gilbert,75-63
Rotterdam,1994.02.21,Quarter-Finals,Goran Ivanisevic,Jonas Svensson,62-64
Rotterdam,1994.02.21,Quarter-Finals,Wayne Ferreira,Yevgeny Kafelnikov,64-36-64
Rotterdam,1994.02.21,Quarter-Finals,Paul Haarhuis,Alexander Volkov,75-64
Rotterdam,1994.02.21,Round of 16,Michael Stich,Daniel Vacek,36-63-64
Rotterdam,1994.02.21,Round of 16,Goran Ivanisevic,Kenneth Carlsen,61-62
Rotterdam,1994.02.21,Round of 16,Yevgeny Kafelnikov,Magnus Gustafsson,61-63
Rotterdam,1994.02.21,Round of 16,Wayne Ferreira,Jakob Hlasek,64-765
Rotterdam,1994.02.21,Round of 16,Alexander Volkov,Guillaume Raoux,64-676-769
Rotterdam,1994.02.21,Round of 16,Rodolphe Gilbert,Karel Novacek,46-762-64
Rotterdam,1994.02.21,Round of 16,Jonas Svensson,Jonas Bjorkman,57-63-64
Rotterdam,1994.02.21,Round of 16,Paul Haarhuis,Ronald Agenor,61-64
Rotterdam,1994.02.21,Round of 32,Michael Stich,Jacco Eltingh,64-64
Rotterdam,1994.02.21,Round of 32,Goran Ivanisevic,David Prinosil,36-63-763
Rotterdam,1994.02.21,Round of 32,Magnus Gustafsson,John McEnroe,62-765
Rotterdam,1994.02.21,Round of 32,Paul Haarhuis,Boris Becker,46-765-64
Rotterdam,1994.02.21,Round of 32,Wayne Ferreira,Martin Damm,673-61-75
Rotterdam,1994.02.21,Round of 32,Alexander Volkov,Diego Nargiso,36-64-64
Rotterdam,1994.02.21,Round of 32,Karel Novacek,Alex Antonitsch,64-75
Rotterdam,1994.02.21,Round of 32,Jonas Svensson,Thomas Enqvist,75-46-61
Rotterdam,1994.02.21,Round of 32,Ronald Agenor,Jan Siemerink,75-36-63
Rotterdam,1994.02.21,Round of 32,Jonas Bjorkman,Omar Camporese,61-765
Rotterdam,1994.02.21,Round of 32,Kenneth Carlsen,Anders Jarryd,36-75-63
Rotterdam,1994.02.21,Round of 32,Rodolphe Gilbert,Younes El Aynaoui,765-64
Rotterdam,1994.02.21,Round of 32,Jakob Hlasek,Joost Winnink,761-765
Rotterdam,1994.02.21,Round of 32,Yevgeny Kafelnikov,Brett Steven,75-62
Rotterdam,1994.02.21,Round of 32,Guillaume Raoux,Henrik Holm,64-62
Rotterdam,1994.02.21,Round of 32,Daniel Vacek,Andrei Olhovskiy,767-46-64
Mexico City,1994.02.21,Finals,Thomas Muster,Roberto Jabali,63-61
Mexico City,1994.02.21,Semi-Finals,Thomas Muster,Alex Corretja,75-62
Mexico City,1994.02.21,Semi-Finals,Roberto Jabali,Maurice Ruah,62-63
Mexico City,1994.02.21,Quarter-Finals,Thomas Muster,Mark Petchey,769-46-75
Mexico City,1994.02.21,Quarter-Finals,Maurice Ruah,David Rikl,763-760
Mexico City,1994.02.21,Quarter-Finals,Alex Corretja,Slava Dosedel,764-63
Mexico City,1994.02.21,Quarter-Finals,Roberto Jabali,Bryan Shelton,36-75-61
Mexico City,1994.02.21,Round of 16,Thomas Muster,Frederic Fontang,64-767
Mexico City,1994.02.21,Round of 16,Maurice Ruah,Jaime Yzaga,64-06-75
Mexico City,1994.02.21,Round of 16,David Rikl,Roger Smith,674-62-61
Mexico City,1994.02.21,Round of 16,Mark Petchey,Gilbert Schaller,64-63
Mexico City,1994.02.21,Round of 16,Bryan Shelton,Andrea Gaudenzi,63-75
Mexico City,1994.02.21,Round of 16,Alex Corretja,Jose Francisco Altur,61-75
Mexico City,1994.02.21,Round of 16,Slava Dosedel,Marcelo Filippini,64-75
Mexico City,1994.02.21,Round of 16,Roberto Jabali,Mauricio Hadad,767-16-64
Mexico City,1994.02.21,Round of 32,Thomas Muster,Doug Flach,64-63
Mexico City,1994.02.21,Round of 32,Mauricio Hadad,Carlos Costa,64-761
Mexico City,1994.02.21,Round of 32,Slava Dosedel,Andrei Chesnokov,62-63
Mexico City,1994.02.21,Round of 32,Jaime Yzaga,Milen Velev,63-62
Mexico City,1994.02.21,Round of 32,Alex Corretja,Alberto Berasategui,64-26-61
Mexico City,1994.02.21,Round of 32,David Rikl,Horacio de la Pena,75-75
Mexico City,1994.02.21,Round of 32,Gilbert Schaller,Gerard Solves,763-62
Mexico City,1994.02.21,Round of 32,Andrea Gaudenzi,Oscar Ortiz,46-75-64
Mexico City,1994.02.21,Round of 32,Jose Francisco Altur,Xavier Daufresne,765-26-64
Mexico City,1994.02.21,Round of 32,Marcelo Filippini,Sebastien Lareau,46-75-63
Mexico City,1994.02.21,Round of 32,Frederic Fontang,Oliver Fernandez,75-64
Mexico City,1994.02.21,Round of 32,Roberto Jabali,Luis Herrera,63-61
Mexico City,1994.02.21,Round of 32,Mark Petchey,Neil Borwick,63-62
Mexico City,1994.02.21,Round of 32,Maurice Ruah,Leonardo Lavalle,63-62
Mexico City,1994.02.21,Round of 32,Bryan Shelton,Jaime Oncins,36-62-762
Mexico City,1994.02.21,Round of 32,Roger Smith,Horst Skoff,675-64-63
Scottsdale,1994.02.21,Finals,Andre Agassi,Luiz Mattar,64-63
Scottsdale,1994.02.21,Semi-Finals,Luiz Mattar,MaliVai Washington,36-63-63
Scottsdale,1994.02.21,Semi-Finals,Andre Agassi,Karsten Braasch,61-64
Scottsdale,1994.02.21,Quarter-Finals,MaliVai Washington,Stefano Pescosolido,763-62
Scottsdale,1994.02.21,Quarter-Finals,Andre Agassi,Brad Gilbert,61-62
Scottsdale,1994.02.21,Quarter-Finals,Karsten Braasch,Jordi Burillo,63-75
Scottsdale,1994.02.21,Quarter-Finals,Luiz Mattar,Chuck Adams,766-64
Scottsdale,1994.02.21,Round of 16,MaliVai Washington,Jared Palmer,63-26-63
Scottsdale,1994.02.21,Round of 16,Brad Gilbert,Nicklas Kulti,75-63
Scottsdale,1994.02.21,Round of 16,Andre Agassi,Libor Nemecek,64-63
Scottsdale,1994.02.21,Round of 16,Karsten Braasch,Aaron Krickstein,26-763-764
Scottsdale,1994.02.21,Round of 16,Chuck Adams,Byron Black,61-64
Scottsdale,1994.02.21,Round of 16,Jordi Burillo,Fabrice Santoro,64-62
Scottsdale,1994.02.21,Round of 16,Luiz Mattar,Grant Stafford,46-63-62
Scottsdale,1994.02.21,Round of 16,Stefano Pescosolido,Jeff Tarango,63-6710-64
Scottsdale,1994.02.21,Round of 32,Jordi Burillo,Stefan Edberg,62-63
Scottsdale,1994.02.21,Round of 32,MaliVai Washington,Patrick Rafter,46-62-764
Scottsdale,1994.02.21,Round of 32,Brad Gilbert,Jan Apell,63-63
Scottsdale,1994.02.21,Round of 32,Byron Black,Mark Woodforde,64-63
Scottsdale,1994.02.21,Round of 32,Andre Agassi,Mark Keil,61-62
Scottsdale,1994.02.21,Round of 32,Luiz Mattar,Javier Sanchez,63-75
Scottsdale,1994.02.21,Round of 32,Aaron Krickstein,Vincent Spadea,63-64
Scottsdale,1994.02.21,Round of 32,Stefano Pescosolido,Andrei Cherkasov,64-61
Scottsdale,1994.02.21,Round of 32,Chuck Adams,Emilio Sanchez,75-62
Scottsdale,1994.02.21,Round of 32,Karsten Braasch,Sandon Stolle,764-63
Scottsdale,1994.02.21,Round of 32,Nicklas Kulti,Andrew Sznajder,64-64
Scottsdale,1994.02.21,Round of 32,Libor Nemecek,Jamie Morgan,764-60
Scottsdale,1994.02.21,Round of 32,Jared Palmer,Bernd Karbacher,64-64
Scottsdale,1994.02.21,Round of 32,Fabrice Santoro,Alex O'Brien,63-57-63
Scottsdale,1994.02.21,Round of 32,Grant Stafford,Mats Wilander,62-62
Scottsdale,1994.02.21,Round of 32,Jeff Tarango,Daniel Nestor,63-62
Indian Wells,1994.02.28,Finals,Pete Sampras,Petr Korda,46-63-36-63-62
Indian Wells,1994.02.28,Semi-Finals,Pete Sampras,Stefan Edberg,63-36-64
Indian Wells,1994.02.28,Semi-Finals,Petr Korda,Aaron Krickstein,64-64
Indian Wells,1994.02.28,Quarter-Finals,Pete Sampras,Thomas Muster,63-62
Indian Wells,1994.02.28,Quarter-Finals,Stefan Edberg,Darren Cahill,64-63
Indian Wells,1994.02.28,Quarter-Finals,Petr Korda,Carlos Costa,63-36-63
Indian Wells,1994.02.28,Quarter-Finals,Aaron Krickstein,Alexander Volkov,63-64
Indian Wells,1994.02.28,Round of 16,Pete Sampras,MaliVai Washington,75-62
Indian Wells,1994.02.28,Round of 16,Stefan Edberg,Fabrice Santoro,62-63
Indian Wells,1994.02.28,Round of 16,Alexander Volkov,Michael Chang,64-16-63
Indian Wells,1994.02.28,Round of 16,Petr Korda,Todd Martin,64-36-62
Indian Wells,1994.02.28,Round of 16,Thomas Muster,Jonathan Stark,64-64
Indian Wells,1994.02.28,Round of 16,Darren Cahill,Marc Rosset,64-57-765
Indian Wells,1994.02.28,Round of 16,Carlos Costa,Patrick Rafter,46-64-75
Indian Wells,1994.02.28,Round of 16,Aaron Krickstein,Patrick McEnroe,26-64-64
Indian Wells,1994.02.28,Round of 32,Pete Sampras,Emilio Sanchez,61-61
Indian Wells,1994.02.28,Round of 32,Patrick Rafter,Jim Courier,762-62
Indian Wells,1994.02.28,Round of 32,Stefan Edberg,Byron Black,61-63
Indian Wells,1994.02.28,Round of 32,Aaron Krickstein,Sergi Bruguera,672-75-64
Indian Wells,1994.02.28,Round of 32,Darren Cahill,Goran Ivanisevic,63-16-765
Indian Wells,1994.02.28,Round of 32,Michael Chang,Robbie Weiss,62-764
Indian Wells,1994.02.28,Round of 32,Todd Martin,Marcos Ondruska,60-46-61
Indian Wells,1994.02.28,Round of 32,Thomas Muster,Jaime Yzaga,46-760-63
Indian Wells,1994.02.28,Round of 32,Petr Korda,Steve Bryan,62-766
Indian Wells,1994.02.28,Round of 32,Marc Rosset,Andrea Gaudenzi,64-64
Indian Wells,1994.02.28,Round of 32,Alexander Volkov,Jim Grabb,64-64
Indian Wells,1994.02.28,Round of 32,Patrick McEnroe,Wayne Ferreira,64-676-64
Indian Wells,1994.02.28,Round of 32,MaliVai Washington,Marc-Kevin Goellner,64-764
Indian Wells,1994.02.28,Round of 32,Carlos Costa,Mats Wilander,64-60
Indian Wells,1994.02.28,Round of 32,Fabrice Santoro,Andre Agassi,64-763
Indian Wells,1994.02.28,Round of 32,Jonathan Stark,Andrei Chesnokov,63-63
Indian Wells,1994.02.28,Round of 64,Pete Sampras,Bye,
Indian Wells,1994.02.28,Round of 64,Jim Courier,Bye,
Indian Wells,1994.02.28,Round of 64,Stefan Edberg,Bye,
Indian Wells,1994.02.28,Round of 64,Sergi Bruguera,Bye,
Indian Wells,1994.02.28,Round of 64,Goran Ivanisevic,Bye,
Indian Wells,1994.02.28,Round of 64,Michael Chang,Bye,
Indian Wells,1994.02.28,Round of 64,Todd Martin,Bye,
Indian Wells,1994.02.28,Round of 64,Thomas Muster,Bye,
Indian Wells,1994.02.28,Round of 64,Jonathan Stark,Cedric Pioline,63-64
Indian Wells,1994.02.28,Round of 64,Petr Korda,Mark Woodforde,75-61
Indian Wells,1994.02.28,Round of 64,Marc Rosset,Gilbert Schaller,36-62-62
Indian Wells,1994.02.28,Round of 64,Alexander Volkov,Nicklas Kulti,26-61-63
Indian Wells,1994.02.28,Round of 64,Wayne Ferreira,Karsten Braasch,675-64-75
Indian Wells,1994.02.28,Round of 64,Fabrice Santoro,Arnaud Boetsch,63-763
Indian Wells,1994.02.28,Round of 64,MaliVai Washington,David Nainkin,64-60
Indian Wells,1994.02.28,Round of 64,Carlos Costa,Alberto Berasategui,763-763
Indian Wells,1994.02.28,Round of 64,Andre Agassi,Richey Reneberg,63-63
Indian Wells,1994.02.28,Round of 64,Byron Black,Javier Sanchez,64-60
Indian Wells,1994.02.28,Round of 64,Steve Bryan,Wally Masur,26-62-63
Indian Wells,1994.02.28,Round of 64,Darren Cahill,Olivier Delaitre,51-(RET)
Indian Wells,1994.02.28,Round of 64,Andrei Chesnokov,David Rikl,62-61
Indian Wells,1994.02.28,Round of 64,Andrea Gaudenzi,Greg Rusedski,26-64-761
Indian Wells,1994.02.28,Round of 64,Marc-Kevin Goellner,Brad Gilbert,46-64-64
Indian Wells,1994.02.28,Round of 64,Jim Grabb,Stefano Pescosolido,06-63-63
Indian Wells,1994.02.28,Round of 64,Aaron Krickstein,Bernd Karbacher,64-60
Indian Wells,1994.02.28,Round of 64,Patrick McEnroe,Jose Francisco Altur,75-62
Indian Wells,1994.02.28,Round of 64,Marcos Ondruska,Alberto Mancini,36-62-64
Indian Wells,1994.02.28,Round of 64,Patrick Rafter,Jason Stoltenberg,46-63-64
Indian Wells,1994.02.28,Round of 64,Emilio Sanchez,David Engel,61-64
Indian Wells,1994.02.28,Round of 64,Robbie Weiss,Jonathan Leach,63-64
Indian Wells,1994.02.28,Round of 64,Mats Wilander,Horst Skoff,64-64
Indian Wells,1994.02.28,Round of 64,Jaime Yzaga,Andrei Cherkasov,7614-60
Copenhagen,1994.02.28,Finals,Yevgeny Kafelnikov,Daniel Vacek,63-75
Copenhagen,1994.02.28,Semi-Finals,Yevgeny Kafelnikov,Alex Antonitsch,75-57-63
Copenhagen,1994.02.28,Semi-Finals,Daniel Vacek,Jean-Philippe Fleurian,62-761
Copenhagen,1994.02.28,Quarter-Finals,Alex Antonitsch,Magnus Gustafsson,16-61-75
Copenhagen,1994.02.28,Quarter-Finals,Yevgeny Kafelnikov,Patrick Baur,75-765
Copenhagen,1994.02.28,Quarter-Finals,Daniel Vacek,Andrei Olhovskiy,670-63-62
Copenhagen,1994.02.28,Quarter-Finals,Jean-Philippe Fleurian,Kenneth Carlsen,63-64
Copenhagen,1994.02.28,Round of 16,Magnus Gustafsson,Jan Siemerink,63-763
Copenhagen,1994.02.28,Round of 16,Kenneth Carlsen,Magnus Larsson,46-765-64
Copenhagen,1994.02.28,Round of 16,Yevgeny Kafelnikov,Jonas Bjorkman,61-64
Copenhagen,1994.02.28,Round of 16,Andrei Olhovskiy,Peter Moraing,762-16-63
Copenhagen,1994.02.28,Round of 16,Alex Antonitsch,Tomas Carbonell,64-64
Copenhagen,1994.02.28,Round of 16,Patrick Baur,Guillaume Raoux,764-63
Copenhagen,1994.02.28,Round of 16,Jean-Philippe Fleurian,Morten Christensen,64-64
Copenhagen,1994.02.28,Round of 16,Daniel Vacek,Anders Jarryd,46-75-765
Copenhagen,1994.02.28,Round of 32,Magnus Gustafsson,Christian Bergstrom,62-57-64
Copenhagen,1994.02.28,Round of 32,Anders Jarryd,Jonas Svensson,63-61
Copenhagen,1994.02.28,Round of 32,Magnus Larsson,Jeremy Bates,63-60
Copenhagen,1994.02.28,Round of 32,Yevgeny Kafelnikov,Stephane Simian,675-64-60
Copenhagen,1994.02.28,Round of 32,Jean-Philippe Fleurian,Henrik Holm,75-63
Copenhagen,1994.02.28,Round of 32,Patrick Baur,Thomas Enqvist,64-36-766
Copenhagen,1994.02.28,Round of 32,Alex Antonitsch,Brett Steven,63-63
Copenhagen,1994.02.28,Round of 32,Andrei Olhovskiy,Peter Lundgren,75-63
Copenhagen,1994.02.28,Round of 32,Jonas Bjorkman,Frederik Fetterlein,62-765
Copenhagen,1994.02.28,Round of 32,Tomas Carbonell,Maurice Ruah,63-61
Copenhagen,1994.02.28,Round of 32,Kenneth Carlsen,Omar Camporese,75-63
Copenhagen,1994.02.28,Round of 32,Morten Christensen,Martin Damm,46-764-64
Copenhagen,1994.02.28,Round of 32,Peter Moraing,Jakob Hlasek,64-63
Copenhagen,1994.02.28,Round of 32,Guillaume Raoux,David Prinosil,75-62
Copenhagen,1994.02.28,Round of 32,Jan Siemerink,Lionel Roux,64-75
